"carro","tempo","link_yt","data_publicacao","duracao_video_min","views","likes","dislikes","url_thumbnail","data_captura"
"Fiat Argo Trekking",76.873,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"Astra GSi 2003",77.027,"https://www.youtube.com/watch?v=I1Ar_8hk5GM","22/02/2016",15.05,1060932,28284,350,"https://i.ytimg.com/vi/I1Ar_8hk5GM/maxresdefault.jpg","29/08/2020"
"Ford Fusion Hybrid",77.136,"https://www.youtube.com/watch?v=Bfr4qNTQ8jY","21/11/2016",0.25,770224,22374,405,"https://i.ytimg.com/vi/Bfr4qNTQ8jY/maxresdefault.jpg","29/08/2020"
"Ford Fiesta Titanium",77.238,"https://www.youtube.com/watch?v=PmePEDyYvCs","1/02/2015",0.25,250683,5149,60,"https://i.ytimg.com/vi/PmePEDyYvCs/maxresdefault.jpg","29/08/2020"
"Nissan Sentra SL",77.257,"https://www.youtube.com/watch?v=rZp7VvbdT-E","30/11/2015",0.25,1167978,20218,476,"https://i.ytimg.com/vi/rZp7VvbdT-E/maxresdefault.jpg","29/08/2020"
"Chevrolet Cruze LTZ 1.8",77.289,"https://www.youtube.com/watch?v=38LAWAZ7myw","6/06/2016",0.25,425819,12439,105,"https://i.ytimg.com/vi/38LAWAZ7myw/maxresdefault.jpg","29/08/2020"
"Fiat Cronos 1.3",77.402,"https://www.youtube.com/watch?v=Nd5WahBpv50","19/03/2018",0.1,92037,8902,324,"https://i.ytimg.com/vi/Nd5WahBpv50/maxresdefault.jpg","29/08/2020"
"Chevrolet Kadett GSi",77.688,"https://www.youtube.com/watch?v=IUeld01jKI0","7/10/2014",0.25,1316882,24268,408,"https://i.ytimg.com/vi/IUeld01jKI0/maxresdefault.jpg","29/08/2020"
"Nissan Kicks 1.6",77.758,"https://www.youtube.com/watch?v=5wg5EXp7GeI","13/03/2017",1.08,279722,10508,260,"https://i.ytimg.com/vi/5wg5EXp7GeI/maxresdefault.jpg","29/08/2020"
"Chevrolet Corsa GSi ’95",77.78,"https://www.youtube.com/watch?v=yIo_od5GLHc","1/10/2015",0.25,1283439,23116,534,"https://i.ytimg.com/vi/yIo_od5GLHc/maxresdefault.jpg","29/08/2020"
"Chevrolet Camaro RS ’67",78.207,"https://www.youtube.com/watch?v=1hLJlVhH5rI","9/12/2014",0.25,205110,5593,26,"https://i.ytimg.com/vi/1hLJlVhH5rI/maxresdefault.jpg","29/08/2020"
"Ford EcoSport 1.6 Powershift",78.383,"https://www.youtube.com/watch?v=wYQNolIumxk","15/02/2016",0.25,910517,18811,378,"https://i.ytimg.com/vi/wYQNolIumxk/maxresdefault.jpg","29/08/2020"
"Jac J5",78.441,"https://www.youtube.com/watch?v=GDF6vxhP4X4","23/03/2015",0.1,115938,3566,40,"https://i.ytimg.com/vi/GDF6vxhP4X4/maxresdefault.jpg","29/08/2020"
"Ford Ranger Limited",78.572,"https://www.youtube.com/watch?v=lAWrlvQofkw","30/09/2019",0.25,539475,33110,312,"https://i.ytimg.com/vi/lAWrlvQofkw/maxresdefault.jpg","29/08/2020"
"Peugeot 208 1.2",78.874,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"Ford Escort XR3",78.934,"https://www.youtube.com/watch?v=IUeld01jKI0","7/10/2014",0.25,1316882,24268,408,"https://i.ytimg.com/vi/IUeld01jKI0/maxresdefault.jpg","29/08/2020"
"Renault Kwid Outsider",78.878,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"Renault Duster Iconic",79.005,"https://www.youtube.com/watch?v=7XWG-XWZJb4","10/08/2020",0.25,152063,9219,561,"https://i.ytimg.com/vi/7XWG-XWZJb4/hqdefault.jpg","29/08/2020"
"Fiat Mobi Drive",79.007,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"Fiat Uno Sporting",79.2,"https://www.youtube.com/watch?v=9ubKelYVDuw","18/05/2015",0.25,252121,5749,95,"https://i.ytimg.com/vi/9ubKelYVDuw/maxresdefault.jpg","29/08/2020"
"VW Golf GTI 1994 do Gerson",79.387,"https://www.youtube.com/watch?v=iZRqqXHu_3E","7/05/2018",0.25,314842,21973,161,"https://i.ytimg.com/vi/iZRqqXHu_3E/maxresdefault.jpg","29/08/2020"
"Chevrolet Onix Effect",79.476,"https://www.youtube.com/watch?v=bjW01V8W4z4","31/08/2015",0.25,754640,13846,236,"https://i.ytimg.com/vi/bjW01V8W4z4/maxresdefault.jpg","29/08/2020"
"Dodge Charger R/T 1975",79.841,"https://www.youtube.com/watch?v=f0YAvm52b8o","6/07/2015",0.25,165332,35148,762,"https://i.ytimg.com/vi/f0YAvm52b8o/maxresdefault.jpg","29/08/2020"
"Ford Ka Freestyle 1.0",79.066,"https://www.youtube.com/watch?v=92pt9EBIZUk","14/10/2019",0.25,143671,12617,94,"https://i.ytimg.com/vi/92pt9EBIZUk/maxresdefault.jpg","29/08/2020"
"VW New Beetle 2008",80.007,"https://www.youtube.com/watch?v=WESah27pphU","28/12/2015",0.25,1610045,41569,711,"https://i.ytimg.com/vi/WESah27pphU/maxresdefault.jpg","29/08/2020"
"Renault Captur 2.0 Intense",80.133,"https://www.youtube.com/watch?v=5wg5EXp7GeI","13/03/2017",1.28,279722,10508,260,"https://i.ytimg.com/vi/5wg5EXp7GeI/maxresdefault.jpg","29/08/2020"
"Nissan Versa 1.0 (etanol)",80.183,"https://www.youtube.com/watch?v=ZGrh6PwUBQE","24/08/2015",0.25,228822,7684,118,"https://i.ytimg.com/vi/ZGrh6PwUBQE/maxresdefault.jpg","29/08/2020"
"Lincoln Town Car 1995",80.223,"https://www.youtube.com/watch?v=5Phcf6bY9I0","8/05/2017",0.1,405765,28109,187,"https://i.ytimg.com/vi/5Phcf6bY9I0/maxresdefault.jpg","29/08/2020"
"Chevrolet Montana Sport",80.255,"https://www.youtube.com/watch?v=Ee6J73Vk0_k","18/04/2016",0.25,1710168,32403,1968,"https://i.ytimg.com/vi/Ee6J73Vk0_k/maxresdefault.jpg","29/08/2020"
"Hyundai HB20 1.0",80.721,"https://www.youtube.com/watch?v=1XGTNOvGMHA","10/04/2017",0.25,634399,18849,428,"https://i.ytimg.com/vi/1XGTNOvGMHA/maxresdefault.jpg","29/08/2020"
"Nissan Versa 1.0 (gasolina)",80.806,"https://www.youtube.com/watch?v=ZGrh6PwUBQE","24/08/2015",0.25,228822,7684,118,"https://i.ytimg.com/vi/ZGrh6PwUBQE/maxresdefault.jpg","29/08/2020"
